SEED_id	name	concentration
cpd00438	Deoxyadenosine	1
cpd01242	Deoxyribose	0.04736842
cpd00054	L-Serine	1
cpd11851	Levan	0.0003125
cpd22386	Arabinogalactan	0.0004855
cpd22387	Arabinoxylan	0.00679348
cpd15269	Vaccenic acid	0.34072233
cpd00122	N-Acetyl-D-glucosamine	1
cpd00048	Sulfate	1
cpd00239	Thioether	1
cpd11748	Laminarin	0.01041667
cpd28101	Rhamnogalacturonans-I	0.00032106
cpd00232	N-Acetylneuraminic acid	1
cpd00128	Adenine	1
cpd00129	L-Proline	0.18
cpd00216	Chorismate	1
cpd00047	Formic acid	1
cpd10516	Fe3+	1
cpd10515	Fe2+	1
cpd00443	p-Aminobenzoic acid	1
cpd11688	Pullulan	0.00026042
cpd00137	Citric acid	1
cpd15311	1,2-Diacyl-sn-glycerol dioctadecanoyl	1
cpd00971	Sodium	1
cpd01080	Stearic acid	0.0846413
cpd00136	4-Hydroxybenzoic acid	1
cpd00382	Raffinose	0.10416667
cpd00039	L-Lysine	0.15
cpd00133	Niacinamide	1
cpd00132	L-Asparagine	0.225
cpd01727	Pimelic acid	1
cpd00035	L-Alanine	1
cpd00226	Hypoxanthine	1
cpd00030	Manganese	1
cpd11752	Xyloglucan	0.00029124
cpd00222	Gluconic acid	0.03947368
cpd28193	Starch	0.00026042
cpd00635	Cob(I)alamin	1
cpd03725	Iron(III)dicitrate	1
cpd00309	Xanthine	1
cpd00307	Cytosine	1
cpd00305	Thiamine	1
cpd27835	rhamnogalurII	0.00073964
cpd00557	Siroheme	1
cpd01122	Linoleic acid	0.17955461
cpd03846	octanoate (n-C8:0)	0.00647136
cpd03847	Myristic acid	0.03433784
cpd03849	Gamolenic acid	0.00878256
cpd00138	D-Mannose	0.03947368
cpd27402	Lichenin	0.00183824
cpd03198	Melibiose	0.01973684
cpd00033	Glycine	0.45
cpd00396	Rhamnose	0.03947368
cpd00029	Acetic acid	1
cpd00027	D-Glucose	0.03947368
cpd00023	L-Glutamic acid	0.18
cpd11606	Menaquinone 7	1
cpd00314	Mannitol	0.03947368
cpd00149	Cobalt	1
cpd01017	Cysteinylglycine	1
cpd00254	Magnesium	1
cpd00264	Spermidine	1
cpd03850	Alpha-Linolenic acid	0.00878256
cpd15500	Menaquinone 8	1
cpd15237	Palmitoleic acid	0.01825848
cpd00794	Trehalose	0.01973684
cpd00016	'Pyridoxal 5''-phosphate'	1
cpd00654	Deoxycytidine	1
cpd00656	Galactomannoglycan	0.0003125
cpd00041	L-Aspartic acid	0.225
cpd00098	Choline	1
cpd00099	Chloride ion	1
cpd00492	N-Acetylmannosamine	1
cpd00156	L-Valine	0.18
cpd00154	D-Xylose	0.04736842
cpd00092	Uracil	1
cpd00158	Cellobiose	0.01973684
cpd00094	2-Ketobutyric acid	1
cpd00042	Glutathione	1
cpd29253	1F-beta-D-fructosylsucrose	0.0625
cpd27519	Methylesterified-homogalacturonan	0.00284091
cpd00007	o2	0.000001
cpd00001	Water	10
cpd00644	Pantothenic acid	1
cpd00009	Phosphate	1
cpd00166	Adenosylcobalamin	1
cpd00160	Cholesterol	0.00247898
cpd00161	L-Threonine	0.225
cpd00276	Glucosamine	1
cpd00084	L-Cysteine	1
cpd00080	Glycerol 3-phosphate	1
cpd00082	D-Fructose	0.03947368
cpd00508	2-keto-3-methyl-valerate	1
cpd00185	Arabinose	1
cpd00186	D-Glutamic acid	1
cpd00180	Oxalic acid	0.11842105
cpd00182	Adenosine	1
cpd00224	L-Arabinose	0.04736842
cpd00188	Arachidonate	0.00166406
cpd12115	alpha-L-Arabinan	0.00368369
cpd15352	2-Demethylmenaquinone 8	1
